No.	Certification#	Certification#	Entity	Owner	Finca	Beneficio	Department	Municipality	Canton	Operations	TotalArea	CultivationArea	Production(kg/green)	MaximumQty(kg)	Annual%Sold	Cycle%Sold	Latitude	Longitude	OriginalCertDate	Program	Status	YearOfCert	ExpirationDate			
1	SV10-SN-4092-CO 	SV10-SN-4092-CO	El Porvenir 	"C.A.L, S.A. de C.V."	1	0	La Libertad	San Juan Opico	El Refugio	1	91.7	82.95	38552	38552.15	0.67	0.53	13.89759	-89.4494	"Jan 05,11"	Rainforest Alliance CertifiedTM	Certificada	2010	10/31/13			
2	SFC-F-00336	SFC-F-00336	Los Cuatro	"A.GON. B., S. A. de C. V."	1	0	La Libertad	Santa Tecla	Victoria	1	10.5	9.45	13636	13636	0.38	0.38	13.7106	-89.2823	"Jan 15,13"	Rainforest Alliance CertifiedTM	Certificada	2012	01/15/13			
3	SFC-F-00337	SFC-F-00336	Tonina	"A.GON. B., S. A. de C. V."	1	0	La Libertad	Tepecoyo	San Antonio	1	43.88	40.6	54545	13636	0.38	0.38	13.71067	-89.47499	"Jan 15,13"	Rainforest Alliance CertifiedTM	Certificada	2012	02/08/13			
4	SFC-F-01180	#N/A	Las Lajas	"ACOPRA Las Lajas, de R.L."	1	0	Sonsonate	Izalco	Las Lajas	1	868.92	645.75	494213	#N/A	#N/A	#N/A			#N/A	Rainforest Alliance CertifiedTM	Certificada	2000	04/27/13			
5		SFC-G-00678	ACO-BOQUERON DE R.L.	ACO-BOQUERON DE R.L.	1	0								92181.87	0	0	13.73311	-89.26749	"Jan 31,11"							
6		SFC-F-01289	Santa Adelaida	ACOPASA DE R.L.	1	0								280772	0.45	0.45	13.65503	-89.3669	"Oct 20,12"							
7	SFC-F-00873	SFC-F-00873	El Porvenir	Adilia Encarnación Aguilar Murillo de P.	1	0	San Miguel 	Chinameca	San antonio	1	107.97	103.77	90909.09	90909	0.5	0.5	13.47037	-88.35079	"Oct 31,12"	Rainforest Alliance CertifiedTM	Certificada	2006	10/31/13			
8	SFC-C-01991	#N/A	Beneficio El Carmen	"Agrícola San Agustín, S. A. de C. V, "	0	1	 Ahuachapan	"Concepción de Ataco,"	"Concepción de Ataco,"	1	N/A	N/A	N/A	#N/A	#N/A	#N/A	0	0	#N/A	Rainforest Alliance CertifiedTM	CdC	2010	02/07/14			
9		#N/A	AGASACARE DE R.L.	AGASACARE DE R.L.	1	0								#N/A	#N/A	#N/A	14.2673	-89.15707	#N/A							
10	SFC-C-01909	SFC-F-03755	Beneficio Guadalupe	"Agro Industrias Homberger, S. A.de C. V. (AGRIN, S.A. de C.V.)"	0	1	San Miguel	Chinameca	Valle Nuevo	1	N/A	N/A	N/A	181818	0.41	0.41	0	0	"Dec 06,12"	Rainforest Alliance CertifiedTM	CdC	2006	04/30/16			
11	SFC-G-04796	SFC-F-03755	"Agro Industrias Homberger, S.A. de C.V."	"Agro Industrias Homberger, S. A.de C. V. (AGRIN, S.A. de C.V.)"	1	0	Usulutan 	Jucuapa	Jucuapa	9	384.3	335.15	369000	181818	0.41	0.41	13.49031	-88.42204	"Dec 06,12"	Rainforest Alliance CertifiedTM	Certificada	2012	05/15/13			
12	SFC-F-03755	SFC-F-00354	San José del Pinar	"AICOS, S.A. DE C.V."	1	0	Santa Ana	Santa Ana	El Pinalon	1	142.2	133	181818	76860	0	0	14.10282	-89.5657	"May 17,13"	Rainforest Alliance CertifiedTM	Certificada	2011	12/06/12			
13		#N/A	Finca San Miguel 1	Aida Maria Salazar Arevalo	1	0								#N/A	#N/A	#N/A	13.91101	-89.61882	#N/A							
14	SFC-F-01286	#N/A	San Miquel 2	Aida Maria Salazar  	1	0	Santa Ana	Santa Ana	Montañita	1	25.86	23.77	47091	#N/A	#N/A	#N/A	13.91101	-89.61882	#N/A	Rainforest Alliance CertifiedTM	Certificada	2004	02/15/13			
15	SFC-F-01175	#N/A	La Reforma	Ana Celia Craik	1	0	Santa Ana	Santa Ana	Ochupse Abajo	1	24.14	22.75	34091	#N/A	#N/A	#N/A	13.91659	-89.58367	#N/A	Rainforest Alliance CertifiedTM	Certificada	2008	03/08/13			
16	SFC-F-00353	#N/A	Alcázar	Ana María Margarita Hernández	1	0	Santa Ana	Chalchuapa	El Porvenir Jocotillo	1	20.65	20.3	28286.36	#N/A	#N/A	#N/A	13.92255	-89.61754	#N/A	Rainforest Alliance CertifiedTM	Certificada	2007	05/17/13			
17	SFC-F-00353	#N/A	San Martín/Iberia	Ana María Margarita Hernández 	1	0	Santa Ana	Candelaria de La Frontera	Valle Nuevo	1	25.58	25	92630	#N/A	#N/A	#N/A	13.92255	-89.61754	#N/A	Rainforest Alliance CertifiedTM	Certificada	2007	05/17/13			
18	SFC-F-00862	#N/A	El Carrizal	"ANAJA, S.A. de C.V.       "	1	0	Ahuachapan	Concepcion de Ataco	El Molino	1	38.5	35	76136	#N/A	#N/A	#N/A	13.88061	-89.85096	#N/A	Rainforest Alliance CertifiedTM	Certificada	2006	01/31/13			
19	SFC-F-02643	SFC-F-02643	Antioquita	Antioquita S.A. de C.V.	1	0	Santa Ana	Chalchuapa	Las Cruces	1	35.7	35.7	" 36, 598.60"	36598	0.45	0.45	13.90056	-89.65698	"Dec 09,12"	Rainforest Alliance CertifiedTM	Certificada	2010	10/31/13			
20	SFC-F-02646	SFC-F-02643	Monserrat	Antioquita S.A. de C.V.	1	0	La Libertad	Colon	Las Delicias 	1	47.7	38.85	11363	36598	0.45	0.45	13.74966	-89.3269	"Dec 09,12"	Rainforest Alliance CertifiedTM	Certificada	2010	10/31/13			
21		#N/A	Finca La Florida (Apostolo España y Cía.)	Apostolo España y Cía.	1	0								#N/A	#N/A	#N/A	13.94183	-89.52234	#N/A							
22	SFC-F-00711	SFC-F-00946	Atocha	"Armonia, S.A. de C.V."	1	0	Santa Ana	Santa Ana	Potrero Grande Abajo	1	29.4	28.7	45227	45227.27	0	0	13.94194	-89.58781	"Apr 16,13"	Rainforest Alliance CertifiedTM	Certificada	2008	04/16/13			
23	SFC-F-00947	SFC-F-00946	Belen	"Armonia, S.A. de C.V."	1	0	Santa Ana	Santa Ana	Ayuta	1	50.31	48.3	77273	45227.27	0	0	14.02235	-89.58845	"Apr 16,13"	Rainforest Alliance CertifiedTM	Certificada	2008	04/16/13			
24	SFC-F-01692	SFC-F-01692	El Molino	"AROD, S.A. de C.V."	1	0	Ahuachapan	Concepcion de Ataco	El Molino	1	214.9	210	295455	354545	0.47	0.47	13.86923	-89.83694	"Feb 02,13"	Rainforest Alliance CertifiedTM	Certificada	2010	02/02/13			
25	SFC-F-00717	SFC-F-00717	Asociación Cooperativa de Producción Agropecuaria ATAISI de R.L.	Asociación Cooperativa de Producción Agropecuaria ATAISI de R.L.	1	0	Sonsonate	Izalco	Las Marias	1	2199.57	1587.65	430734	492322	0.28	0.28	13.7876	-89.56073	"Mar 17,13"	Rainforest Alliance CertifiedTM	Certificada	2007	03/17/13			
26	SFC-C-02329	SFC-F-00717	Beneficio San Isidro	Asociación Cooperativa de Producción Agropecuaria ATAISI de R.L.	0	1	Sonsonate	Izalco	San Isidro	1	N/A	N/A	N/A	492322	0.28	0.28			"Mar 17,13"	Rainforest Alliance CertifiedTM	CdC	2009	03/03/16			
27	SFC-F-00718	SFC-F-00718	El Potosí	Asociación Cooperativa de Producción Agropecuaria El Potosi de R.L.	1	0	Santa Ana	Coatepeque	El Cerro	1	172.55	167.9	159090	159090	0.65	0.65	13.92768	-89.46362	"Oct 14,12"	Rainforest Alliance CertifiedTM	Certificada	2008	10/14/13			
28	SFC-C-01794	SFC-F-01180	Beneficio Las Lajas	Asociación Cooperativa de Producción Agropecuaria Las Lajas de R.L.	0	1	Santa Ana	Chalchuapa	El Porvenir 	1	N/A	N/A	N/A	458120	0	0	13.8169	-89.57916	"Apr 27,13"	Rainforest Alliance CertifiedTM	CdC	2007	04/26/16			
29	SFC-F-01271	SFC-F-01271	San Carlos II	Asociación Cooperativa de Producción Agropecuaria San Carlos No. Dos de R.L	1	0	Morazan	Osicala	La Montaña	1	694.4	593	545455	409090	0.51	0.51	13.77496	-89.19176	"Dec 31,12"	Rainforest Alliance CertifiedTM	Certificada	2006	12/31/13			
30	SFC-F-01289	#N/A	Santa Adelaida	Asociación Cooperativa de Producción Agropecuaria Santa Adelaida de R.L. (ACOPASA de R.L)	1	0	La Libertad	Comasagua	El Matazano	1	840	637	472020	#N/A	#N/A	#N/A			#N/A	Rainforest Alliance CertifiedTM	Certificada	2007	10/20/13			
31	SFC-F-01301	SFC-F-01301	Santa Rosa	Azacualpa S.A. de C.V.	1	0	Santa Ana	San Sebastian Salitrillo	Santa Rosa	1	67.55	66.14	53818	59181	0.5	0.5	13.96836	-89.62134	"Jan 31,13"	Rainforest Alliance CertifiedTM	Certificada	2007	01/31/13			
32	SFC-F-00975	#N/A	El Tapón	"Balzaretti Hermanos, S.A. de C.V. "	1	0	La Libertad	Comasagua	El Rosario	1	78.26	54.46	24022	#N/A	#N/A	#N/A	13.62256	-89.34418	#N/A	Rainforest Alliance CertifiedTM	Certificada	2006	10/31/13			
33	SFC-F-01028	#N/A	Miramar	"Balzaretti Kriete Inversiones, S.A. de C.V"	1	0	La Libertad	Comasagua	El Rosario	1	68.6	39.9	42560	#N/A	#N/A	#N/A	13.62066	-89.34159	#N/A	Rainforest Alliance CertifiedTM	Certificada	2006	10/31/13			
34	SFC-F-01280	#N/A	San Juan Bosco	Beatriz Eugenia Craik de López Lindo 	1	0	Santa Ana	Santa Ana	Ochupse Abajo	1	24.1	23.4	35600	#N/A	#N/A	#N/A	13.91325	-89.58293	#N/A	Rainforest Alliance CertifiedTM	Certificada	2008	02/14/13			
35	SFC-F-06112	#N/A	Belmont	"Belmont, S.A. de C.V."	1	0	La Libertad	Santa Tecla	Los Amates	1	101	98	44520	#N/A	#N/A	#N/A	13.67797	89.34824	#N/A	Rainforest Alliance CertifiedTM	Certificada	2012	12/07/13			
36		#N/A	Finca Casa de Zinc	Benjamín Valdez Iraheta	1	0								#N/A	#N/A	#N/A	13.83955	-89.87669	#N/A							
37	SFC-F-00995	SFC-F-00995	La Esperanza	"BERSE, S.A. DE C.V."	1	0	La Libertad	Jayaque	Juan Higinio	1	18.2	17.2	8210	18000	0.06	0.06	13.6638	-89.44177	"May 29,13"	Rainforest Alliance CertifiedTM	Certificada	2005	05/29/13			
38	SFC-C-02640	SFC-G-05973	Beneficio San Carlos	"Borgonovo Pohl, S.A. de C.V."	0	1	La Libertad	Talnique	San Carlos	1	N/A	N/A	N/A	577272	1	1	13.6724	-89.26172	"Nov 15,12"	Rainforest Alliance CertifiedTM	CdC	2006	03/31/13			
39	SFC-G-05973	SFC-G-05973	Grupo Borgonovo Pohl	"Borgonovo Pohl, S.A. de C.V."	1	0	La libertad	Antiguo Cuscatlan	Antiguo Cuscatlan	3	443.55	403.39	577272.72	577272	1	1	13.6724	-89.26172	"Nov 15,12"	Rainforest Alliance CertifiedTM	Certificada	2012	11/15/13			
40	SFC-G-03085	#N/A	"Buena Vista, S.A. de C.V."	"Buena Vista, S.A. de C.V."	1	0	Santa Ana	Chalchuapa	Las Cruces	5	361	344	360600	#N/A	#N/A	#N/A			#N/A	Rainforest Alliance CertifiedTM	Certificada	2011	05/04/13			
41	SFC-F-02645	SFC-F-02645	El Socorro	"C.I. Vilanova, S.A. de C.V."	1	0	San Salvador	Nejapa	Conacaste 	1	49	48.5	90909	90909	0	0	13.78612	-89.24858	"Dec 09,12"	Rainforest Alliance CertifiedTM	Certificada	2010	12/09/12			
42	SFC-F-04895	#N/A	La Trinidad	"CAE, S.A. de C.V."	1	0	La libertad	Jayaque	Las Flores	1	29	27	11364	#N/A	#N/A	#N/A	13.68768	-89.44037	#N/A	Rainforest Alliance CertifiedTM	Certificada	2012	05/24/13			
43	SFC-C-01705	SFC-F-00379	Beneficio Buena Vista	"Capitales Unidos , S.A. de C.V."	0	1	Sonsonate	Juayua	Valle Nuevo	1	N/A	N/A	N/A	96625	0	0	13.888	-89.4777	"Oct 03,13"	Rainforest Alliance CertifiedTM	CdC	2008	04/13/16			
44	SFC-F-00380	#N/A	Montemayor	"Capitales Unidos, S.A. de C.V."	1	0	Santa Ana	Coatepeque	El Zacatal	1	114.6	106.75	43878	#N/A	#N/A	#N/A	13.88809	-89.47764	#N/A	Rainforest Alliance CertifiedTM	Certificada	2007	05/10/13			
45	SFC-F-00379	#N/A	Lictoria	"Capitales Unidos, S.A. de C.V."	1	0	Sonsonate	Juayua y Salcoatitan	Cañales	1	139.06	135.56	96625	#N/A	#N/A	#N/A	13.888	-89.4777	#N/A	Rainforest Alliance CertifiedTM	Certificada	2007	05/10/13			
46	SFC-F-01690	SFC-F-01690	San Antonio Amatepec	Carlos Antonio Boza Dreyfus	1	0	San Salvador 	San Marcos	El Pepeto	1	82.81	72.8	70585	70585	0.68	0.63	13.66469	-89.15897	"Mar 01,11"	Rainforest Alliance CertifiedTM	Certificada	2010	10/31/13			
47	SFC-F-01169	SFC-F-01169	La Mecca	Carlos Vásquez Arevalo y María Elena Vásquez	1	0	Sonsonate	Juayua	Los Naranjos	1	34.46	32.24	29219	29219.2	0.53	0.53	13.88308	-89.67477	"Oct 31,12"	Rainforest Alliance CertifiedTM	Certificada	2010	10/31/13			
48	SFC-F-00777	SFC-F-00777	Casa de Zinc	"Casa de Zinc, S.A. de C.V."	1	0	Ahuachapan	Concepcion de Ataco	El Naranjito 	1	75.6	71.4	18182	26136	0	0	13.83955	-89.87669	"Jan 31,13"	Rainforest Alliance CertifiedTM	Certificada	2006	01/31/13			
49	SFC-F-01010	#N/A	Finca las Delicias 	"Casal, S.A. de C.V."	1	0	Ahuachapan	Atiquizaya	Tapacun	1	40.3	27.5	59090.91	#N/A	#N/A	#N/A	13.90761	-89.72572	#N/A	Rainforest Alliance CertifiedTM	Certificada	2004	03/31/13			
50	SFC-F-01273 	SFC-F-01273	San Eduardo	"CASTANEDA VIDES, S.A. DE C.V."	1	0	Santa Ana	Chalchuapa	Las Cruces	1	31.5	31.15	40657.73	40657	0	0	13.91696	-89.66192	"Nov 08,12"	Rainforest Alliance CertifiedTM	Certificada	2009	11/04/13			
51	SFC-C-01526	#N/A	Beneficio San Miguel	"COEX, S.A. de C.V."	0	1	Ahuachapan	Ahuachapan	Llano de La Laguna o El Espino 	1	N/A	N/A	N/A	#N/A	#N/A	#N/A			#N/A	Rainforest Alliance CertifiedTM	CdC	2007	01/18/12			
52	SFC-F-00390	SFC-F-00390	Finca San Luis 	"Coexca,  S.A. de C.V."	1	0	Santa Ana	Chalchuapa	El Duraznillo	1	7.5	7.2	13300	12256.81	1.47	1.47	13.91735	-89.72325	"Mar 31,11"	Rainforest Alliance CertifiedTM	Certificada	2004	03/31/13			
53	SFC-F-00391 	SFC-F-00390	Finca Santa Bárbara 	"Coexca,  S.A. de C.V."	1	0	Ahuachapan	Atiquizaya	Joya del Platanar	1	21.36	20.16	47670	12256.81	1.47	1.47	13.91242	-89.72556	"Mar 31,11"	Rainforest Alliance CertifiedTM	Certificada	2004	03/31/13			
54	SFC-C-02553	SFC-G-01223	Beneficio Bendix	"COFINANZAS, S.A. de C.V."	0	1	Ahuachapan	Ahuachapan	El Barro	1	N/A	N/A	N/A	480481	0	0	13.91789	-89.83823	"Sep 30,13"	Rainforest Alliance CertifiedTM	CdC	2006	01/31/12			
55	SFC-C-02552	SFC-G-01223	Beneficio Santa Teresa	"COFINANZAS, S.A. de C.V."	0	1	Ahuachapan	Ahuachapan	El Barro	1	N/A	N/A	N/A	480481	0	0			"Sep 30,13"	Rainforest Alliance CertifiedTM	CdC	2006	01/31/12			
56	SFC-G-01223	SFC-G-01223	Grupo Organic Batres Farm	"Cofinanzas, S.A. de C.V."	1	0	Ahuachapan	Ahuachapan	El Barro	12	332.8	331.1	496658.18	480481	0	0	13.91789	-89.83823	"Sep 30,13"	Rainforest Alliance CertifiedTM	Certificada	2008	09/30/13			
57	SFC-F-01036	#N/A	Finca Piedra Grande 	Comexca S.A. de C.V.	1	0	Ahuachapan	Atiquizaya	Joya del Platanar	1	39.7	37.8	61349	#N/A	#N/A	#N/A	13.93256	-89.72914	#N/A	Rainforest Alliance CertifiedTM	Certificada	2004	03/31/13			
58	SFC-C-01990	#N/A	Beneficio Piedra Grande	"COMEXCA, S.A. de C.V."	0	1	Ahuachapan	Atiquizaya	Joya del Platanar	1	N/A	N/A	N/A	#N/A	#N/A	#N/A			#N/A	Rainforest Alliance CertifiedTM	CdC	2006	03/15/16			
59	SFC-F-00861	SFC-F-00861	El Carmen	"Consultef, S.A. de C.V."	1	0	La Libertad	Jayaque	Las Flores	1	39.5	38.7	36363	36363	0.38	0.38	13.66785	-89.43357	"Oct 31,12"	Rainforest Alliance CertifiedTM	Certificada	2007	10/31/13			
60	SFC-G-00814	SFC-G-00814	Cooperativa Cuzcachapa de R.L.	Cooperativa Cuzcachapa de R.L.	1	0	Santa Ana	Chalchuapa	Galeano	112	2805.62	2560.42	786456	2178727	0.43	0.43	13.99255	-89.68591	"Jan 21,13"	Rainforest Alliance CertifiedTM	Certificada	2008	01/21/13			
61	SFC-C-02813	SFC-G-00814	Beneficio Cuzcachapa 	Cooperativa Cuzcachapa de R.L.	0	1	Santa Ana	Chalchuapa	Galeano	1	N/A	N/A	N/A	2178727	0.43	0.43			"Jan 21,13"	Rainforest Alliance CertifiedTM	CdC	2007	12/13/11			
62	SV06-SN-1255-CC	#N/A	Beneficio San José de La Majada	Cooperativa de Cafetaleros de San José de La Majada de R.L	0	1	Sonsonate	Juayua	San José La Majada	1	N/A	N/A	N/A	#N/A	#N/A	#N/A			#N/A	Rainforest Alliance CertifiedTM	CdC	2006	12/19/11			
63	SFC-F-04000	SFC-F-04000	Las Mercedes 	"Corporacion Puntarenas, S.A. de C.V."	1	0	San Salvador	Apopa	Las Delicias	1	76	68	60000	100000	0.57	0.57	13.75498	-89.84631	"Jan 31,13"	Rainforest Alliance CertifiedTM	Certificada	2012	01/31/13			
64		#N/A	Piemonte	"Creta, S.A. de C.V."	1	0								#N/A	#N/A	#N/A	13.71414	-89.31661	#N/A							
65	SFC-F-00409	SFC-F-00409	El Carmen	Cristiani Burkard S.A. de C.V	1	0	San Vicente	Tepetitan	Loma Alta	1	158.74	80.3	136364	136364	0.38	0.38	13.61285	-88.83758	"Feb 28,13"	Rainforest Alliance CertifiedTM	Certificada	2003	02/28/13			
66	SFC-F-00410	SFC-F-00409	Las Colinas	Cristiani Burkard S.A. de C.V	1	0	San Vicente	San Vicente	Los Laureles	1	140.87	50.97	67095	136364	0.38	0.38	13.60744	-88.81965	"Feb 28,13"	Rainforest Alliance CertifiedTM	Certificada	2005	02/28/13			
